1,93
2,101
3,111
4,96
5,91
6,105
7,95
8,93
9,93
10,93
11,98
12,104
13,75
14,93
15,93
16,109
17,98
18,103
19,102
20,100
21,123
22,91
23,116
24,99
25,88
26,80
27,116
28,119
29,91
30,99
31,99
32,116
33,115
34,84
35,91
36,116
37,110
38,95
39,108
40,101
41,90
42,95
43,99
44,110
45,100
46,82
47,112
48,90
49,81
50,100
51,90
52,109
53,113
54,95
55,91
56,99
57,96
58,94
59,110
60,94
61,123
62,112
63,115
64,121
65,88
66,101
67,101
68,97
69,114
